question,intent,answer,source_dataset
At what minute did Arthur Avom find the net against Eswatini?,goal_minute,28,goalscorers
At what minute did Khairul Amri find the net against Cambodia?,goal_minute,9,goalscorers
What was the date of France versus Azerbaijan?,match_date,2025-10-10,results
How many goals were scored in total when El Salvador faced Brazil?,total_goals,4,results
Did Dové Womé score a penalty in the match against Algeria?,penalty_status,No,goalscorers
Which side won when Sweden faced Hungary?,match_winner,Hungary,results
Who started the penalty shootout between Argentina and Iran?,first_shooter,Unknown,shootouts
What competition did Georgia and Moldova play in?,tournament,FIFA World Cup qualification,results
What was the score between Barbados and Trinidad and Tobago?,match_score,Barbados 1 - 2 Trinidad and Tobago,results
What city and country hosted Kuwait versus Nepal?,match_location,"New Delhi, India",results
On what date did Syria play South Sudan?,match_date,2025-11-25,results
What was the total goal count in the match between Finland and Romania?,total_goals,2,results
Was the goal scored by Mihails Zemļinskis for Latvia a penalty?,penalty_status,No,goalscorers
Which team took the first penalty between Ghana and Tunisia?,first_shooter,Ghana,shootouts
Who scored for Croatia against Austria?,scorer,Luka Modrić,goalscorers
Who was the winner when Bahrain played North Korea?,match_winner,North Korea,results
When did Kurt Mørkøre score against Luxembourg?,goal_minute,82,goalscorers
Was the match between New Caledonia and Vanuatu played at a neutral venue?,neutral_status,No,results
In which tournament did Mexico face Trinidad and Tobago?,tournament,Gold Cup,results
At what minute did Youri Djorkaeff find the net against Armenia?,goal_minute,45,goalscorers
Where was the FIFA World Cup qualification match between United Arab Emirates and Australia held?,match_location,"Abu Dhabi, United Arab Emirates",results
How many goals did the home team Saudi Arabia score in this match?,home_team_score,6,results
Which event included the match between Kuwait and Pakistan?,tournament,FIFA World Cup qualification,results
How did the match between Tunisia and Algeria end?,match_score,Tunisia 0 - 0 Algeria,results
Did the match between Bhutan and Bangladesh end in a draw or did someone win?,match_winner,Bangladesh,results
What was the total goal count in the match between Libya and Guinea?,total_goals,1,results
Did Dolores Cruz score a penalty in the match against Trinidad and Tobago?,penalty_status,No,goalscorers
Which player got the goal for Finland against Bosnia and Herzegovina?,scorer,Teemu Pukki,goalscorers
How many goals did the home team Latvia score in this match?,home_team_score,2,results
How many goals were recorded in Turkey vs Northern Ireland?,total_goals,0,results
Was the goal by Orlando de Azevedo Viarina recorded as an own goal?,own_goal_status,No,goalscorers
How many goals did the away team Bermuda score while playing away to Cayman Islands?,away_team_score,2,results
Who won the shootout involving Scotland and Israel?,shootout_winner,Scotland,shootouts
How many goals did the home team Bulgaria score against Romania?,home_team_score,2,results
How did the match between Rwanda and Tanzania end?,match_score,Rwanda 1 - 2 Tanzania,results
What was the away team's score when Saudi Arabia played Venezuela?,away_team_score,2,results
Did Renato Augusto score an own goal against Haiti?,own_goal_status,No,goalscorers
What was the home team's score in Italy versus Portugal?,home_team_score,3,results
Which team defeated the other in France versus Japan?,match_winner,Draw,results
What was the scoreline for Bosnia and Herzegovina versus Denmark?,match_score,Bosnia and Herzegovina 1 - 1 Denmark,results
Who won the African Cup of Nations match between Cameroon and Zambia?,match_winner,Cameroon,results
Which team took the first penalty between Gabon and Angola?,first_shooter,Unknown,shootouts
Who was the goalscorer for Costa Rica versus El Salvador?,scorer,Pastor Fernández,goalscorers
Was the African Cup of Nations qualification match between Ivory Coast and Libya neutral?,neutral_status,No,results
Which event included the match between Syria and South Korea?,tournament,FIFA World Cup qualification,results
Who was the winner of the penalty shootout between Zambia and Eswatini?,shootout_winner,Eswatini,shootouts
Where was the match between Sweden and Denmark played?,match_location,"Gothenburg, Sweden",results
Was the goal involving Elyaniv Barda on 2007-11-17 an own goal?,own_goal_status,No,goalscorers
When was Bernard Blanchet's goal scored in the match against Norway?,goal_minute,34,goalscorers
Where was the Friendly match between Vietnam and Palestine held?,match_location,"Nam Định, Vietnam",results
Which team took the first penalty between Iraqi Kurdistan and Padania?,first_shooter,Unknown,shootouts
Was the goal scored by Zlatan Bajramović for Bosnia and Herzegovina a penalty?,penalty_status,No,goalscorers
Who won the match between Bolivia and Uruguay on 1993-08-08?,match_winner,Bolivia,results
Did Mahmoud Mokhtar El-Tetsh score from the penalty spot against Israel?,penalty_status,No,goalscorers
Did Bader Al-Mutawa's goal in Kuwait versus Malaysia count as an own goal?,own_goal_status,No,goalscorers
Which team kicked first in the shootout between Oman and Singapore?,first_shooter,Unknown,shootouts
Which side took the opening penalty between Bahrain and Qatar?,first_shooter,Unknown,shootouts
How many total goals were scored between Qatar and Syria?,total_goals,2,results
Who scored for Brazil in the match against Paraguay on 2017-03-28?,scorer,Marcelo,goalscorers
How many goals were scored altogether when Trinidad and Tobago played Grenada?,total_goals,4,results
How many total goals were scored between Jersey and Alderney on 1987-03-17?,total_goals,10,results
Which tournament included the match between Togo and Gabon?,tournament,Friendly,results
When did the match between Costa Rica and Serbia take place?,match_date,2018-06-17,results
How many goals were scored in total when Tunisia faced Libya?,total_goals,1,results
Who won the shootout when Guernsey played Jersey?,shootout_winner,Jersey,shootouts
Who was victorious in the match between Kuwait and Philippines?,match_winner,Kuwait,results
How did Argentina vs Colombia finish?,match_score,Argentina 2 - 1 Colombia,results
Was the match between Chile and Paraguay played on neutral soil?,neutral_status,Yes,results
Was the goal involving Colin Bell on 1972-11-15 an own goal?,own_goal_status,No,goalscorers
Was Søren Lerby's goal for Denmark against Norway a penalty?,penalty_status,No,goalscorers
In which minute did Ronaldinho score for Brazil against Saudi Arabia?,goal_minute,90,goalscorers
When was the Nehru Cup match between India and Syria held?,match_date,2009-08-29,results
Did Latvia or Northern Ireland win the match?,match_winner,Northern Ireland,results
What competition did Sealand and Chagos Islands play in?,tournament,Friendly,results
Who was the goalscorer for Russia versus Luxembourg?,scorer,Dmitri Alenichev,goalscorers
Was the goal scored by Bekim Balaj for Albania a penalty?,penalty_status,No,goalscorers
What day was the match between Guernsey and Alderney?,match_date,1986-04-09,results
How many goals were recorded in Mozambique vs Malawi?,total_goals,2,results
In which minute did Omer Damari score in Israel versus Bosnia and Herzegovina?,goal_minute,45,goalscorers
Which team won the shootout between Zambia and Mozambique?,shootout_winner,Zambia,shootouts
On what date did Faroe Islands play France?,match_date,2004-09-08,results
Did either Austria or Montenegro have home advantage?,neutral_status,No,results
Did Bart Goor register an own goal in the match against Andorra?,own_goal_status,No,goalscorers
When did the match between Bolivia and Slovakia take place?,match_date,2000-06-14,results
Did Ecuador or Haiti win the match?,match_winner,Haiti,results
What was the score between Ethiopia and Zambia on 1989-03-31?,match_score,Ethiopia 0 - 1 Zambia,results
Who won the shootout when Iran played Saudi Arabia?,shootout_winner,Saudi Arabia,shootouts
How many goals did both teams score in total?,total_goals,3,results
How did the match between Sweden and Kosovo end?,match_score,Sweden 3 - 0 Kosovo,results
In what city was South Korea against Vietnam Republic played?,match_location,"Bangkok, Thailand",results
How many goals did the away team Uruguay score while playing away to Ecuador?,away_team_score,5,results
What city and country hosted Slovakia versus Moldova?,match_location,"Trenčín, Slovakia",results
Which player scored for Australia in the 2024-01-28 match against Indonesia?,scorer,Elkan Baggott,goalscorers
When did the match between Chile and Ecuador take place?,match_date,1996-07-06,results
At what minute did Lucas Paquetá find the net against Colombia?,goal_minute,72,goalscorers
When did Italy face Bulgaria?,match_date,1966-06-14,results
