question,intent,answer,source_dataset
What was the home team's score in Madagascar versus Mozambique?,home_team_score,1,results
What was the final result when Curaçao played Aruba?,match_score,Curaçao 4 - 0 Aruba,results
Who scored for Montenegro against Croatia?,scorer,Milutin Osmajić,goalscorers
How many total goals were scored between Myanmar and India?,total_goals,1,results
How many goals did the home team Togo score in the Friendly match against Uganda?,home_team_score,1,results
What was the score between Romania and Greece?,match_score,Romania 6 - 1 Greece,results
How many goals did both teams score in total?,total_goals,1,results
What minute was Peter Crouch's goal for England?,goal_minute,65,goalscorers
Who scored for Peru against Bolivia?,scorer,César Cueto,goalscorers
How many goals were scored altogether when Thailand played Philippines?,total_goals,4,results
What was the home team's goal total against Isle of Wight?,home_team_score,3,results
Which location hosted the match between Paraguay and Uruguay?,match_location,"Asunción, Paraguay",results
How many goals did both teams score in total?,total_goals,6,results
Who scored for Serbia in the match against Moldova on 2016-10-06?,scorer,Branislav Ivanović,goalscorers
How many goals did the away team England score in this match?,away_team_score,0,results
Which team won between Libya and Syria?,match_winner,Draw,results
How many goals did the home team South Korea score in this match?,home_team_score,1,results
At what point in the match did Max Abegglen score against Sweden?,goal_minute,15,goalscorers
What was the final result when Albania played Luxembourg?,match_score,Albania 0 - 1 Luxembourg,results
What was the away team's score when Libya played Tunisia on 1974-11-22?,away_team_score,0,results
Was Saudi Arabia versus Jordan held at a neutral location?,neutral_status,Yes,results
What was the home team's score when Dominica played Saint Martin on 2025-11-12?,home_team_score,1,results
Who won the penalty shootout between Madagascar and DR Congo on 2019-07-07?,shootout_winner,Madagascar,shootouts
Was the goal by Edwin Mukenya against Guinea scored from a penalty?,penalty_status,No,goalscorers
Was Rubén Ayala's goal for Argentina marked as an own goal?,own_goal_status,No,goalscorers
Who won the Friendly match between Sweden and Finland?,match_winner,Sweden,results
What was the home team's score when Denmark played Romania on 1974-10-13?,home_team_score,0,results
At what point in the match did Juan Carlos Rojas score against Bolivia?,goal_minute,73,goalscorers
How many goals did the home team Syria score in the Friendly match against Sudan?,home_team_score,1,results
Was the venue neutral for the match between Romania and Faroe Islands?,neutral_status,No,results
Which side took the opening penalty between Tanzania and DR Congo?,first_shooter,Unknown,shootouts
Did Ji Dong-won's goal for South Korea come from a penalty kick?,penalty_status,No,goalscorers
What was the home team's score in Wales versus England?,home_team_score,1,results
Which player scored for Uruguay against Scotland?,scorer,Carlos Borges,goalscorers
Was Halil Altıntop's goal for Turkey against Hungary a penalty?,penalty_status,No,goalscorers
Can you tell me the score between Vietnam and Singapore?,match_score,Vietnam 0 - 0 Singapore,results
Who was on the scoresheet for Bulgaria against Belgium?,scorer,Nikola Kotkov,goalscorers
Was the match between Zambia and Gabon played at a neutral venue?,neutral_status,No,results
Was Kamil Grosicki's goal for Poland against Gibraltar a penalty?,penalty_status,No,goalscorers
Where was the match between Dominican Republic and Antigua and Barbuda played?,match_location,"Georgetown, Guyana",results
What was the score between Colombia and Paraguay on 2008-10-11?,match_score,Colombia 0 - 1 Paraguay,results
Was Luis Fernández's goal for France marked as an own goal?,own_goal_status,No,goalscorers
What competition was the match between Jamaica and Barbados played in?,tournament,Friendly,results
What was the home score when Indonesia played South Korea?,home_team_score,1,results
Which tournament included the match between Burkina Faso and Ethiopia?,tournament,FIFA World Cup qualification,results
How many goals did the away team Bolivia score in the FIFA World Cup qualification match against Chile?,away_team_score,1,results
Was the match between Turkey and Scotland played on neutral soil?,neutral_status,No,results
How many goals were scored by the home team Kuwait against Finland?,home_team_score,1,results
Was Jaroslav Timko's goal for Slovakia against Azerbaijan a penalty?,penalty_status,No,goalscorers
Did Darijo Srna score from the penalty spot against Bulgaria?,penalty_status,No,goalscorers
Was the venue neutral for the match between Egypt and Mauritius?,neutral_status,No,results
Which player got the goal for Qatar against Jordan?,scorer,Akram Afif,goalscorers
Did the match between Croatia and Hungary end in a draw or did someone win?,match_winner,Draw,results
What day was the match between Turkey and Israel?,match_date,1962-05-16,results
Which side won the penalty shootout between Abkhazia and Panjab?,shootout_winner,Abkhazia,shootouts
What was the away team Indonesia's score against Malaysia?,away_team_score,2,results
Can you tell me the score between Estonia and Latvia?,match_score,Estonia 3 - 4 Latvia,results
How many goals did the home team United States score in the FIFA World Cup qualification match against Honduras?,home_team_score,3,results
How many goals were scored in total when Hungary faced Germany?,total_goals,6,results
Who won the shootout when Colombia played England?,shootout_winner,England,shootouts
In which minute did Arthur Moses score in Ghana versus Morocco?,goal_minute,89,goalscorers
Was the venue neutral for the match between Ivory Coast and Egypt?,neutral_status,Yes,results
Was the goal by Orbelín Pineda recorded as an own goal?,own_goal_status,No,goalscorers
What was the home team's goal total against Germany?,home_team_score,0,results
What was the score between Libya and Palestine on 1966-04-01?,match_score,Libya 0 - 0 Palestine,results
How many goals did the away team Vatican City score in this match?,away_team_score,2,results
How did the match between Benin and Ghana end?,match_score,Benin 1 - 1 Ghana,results
Who kicked first when Hitra played Western Isles in a penalty shootout?,first_shooter,Unknown,shootouts
